cid,name,type,notnull,dflt_value,pk,table_name
0,doc_id,TEXT,0,NA,1,documents
1,doc_type,TEXT,0,NA,0,documents
2,content,TEXT,0,NA,0,documents
3,metadata,TEXT,0,NA,0,documents
4,timestamp,TEXT,0,NA,0,documents
5,embedding_hash,TEXT,0,NA,0,documents
0,query_id,TEXT,0,NA,0,performance_metrics
1,doc_type,TEXT,0,NA,0,performance_metrics
2,query_time,REAL,0,NA,0,performance_metrics
3,precision_score,REAL,0,NA,0,performance_metrics
4,recall_score,REAL,0,NA,0,performance_metrics
5,timestamp,TEXT,0,NA,0,performance_metrics
0,doc_type_label,,0,NA,0,rpt_doc_counts_by_type
1,n_docs,,0,NA,0,rpt_doc_counts_by_type
0,doc_type_label,,0,NA,0,rpt_doc_length_stats_by_type
1,n_docs,,0,NA,0,rpt_doc_length_stats_by_type
2,mean_chars,,0,NA,0,rpt_doc_length_stats_by_type
3,sd_chars,,0,NA,0,rpt_doc_length_stats_by_type
4,min_chars,,0,NA,0,rpt_doc_length_stats_by_type
5,max_chars,,0,NA,0,rpt_doc_length_stats_by_type
0,origin,,0,NA,0,rpt_shipping_top_lanes
1,destination,,0,NA,0,rpt_shipping_top_lanes
2,n_shipments,,0,NA,0,rpt_shipping_top_lanes
