origin,destination,n_shipments,avg_chars,avg_sku_count,avg_priority_score
Changwon,Ulsan,8,1562.6,NA,2.29
Seoul,Gwangju,8,1569.5,NA,2.25
Cheonan,Pohang,7,1561.6,NA,2.43
Daejeon,Suwon,7,1563.1,NA,2.43
Jeonju,Changwon,7,1573.4,NA,2.5
Mokpo,Daejeon,7,1578.1,NA,2.57
Yongin,Ansan,7,1563.1,NA,2
Cheongju,Jinju,6,1565.8,NA,2.4
Daejeon,Ansan,6,1570.8,NA,2
Goyang,Cheongju,6,1568.3,NA,2
Gwangju,Cheongju,6,1564.2,NA,2.33
Gyeongju,Ansan,6,1575.7,NA,2.6
Gyeongju,Cheongju,6,1570.5,NA,2.5
Incheon,Gangneung,6,1581.8,NA,2.4
Jeju,Busan,6,1562,NA,2.33
Jeonju,Goyang,6,1556.5,NA,1.83
Mokpo,Cheonan,6,1571.5,NA,2.8
Suwon,Gyeongju,6,1566.5,NA,2.67
Ansan,Busan,5,1562.4,NA,2
Busan,Ansan,5,1557.8,NA,1.8
Changwon,Gyeongju,5,1573.4,NA,2.5
Changwon,Jeju,5,1574.4,NA,2.25
Cheonan,Cheongju,5,1566.8,NA,2
Cheonan,Yongin,5,1569.8,NA,2.75
Cheongju,Seoul,5,1568.6,NA,2
