w_neighbors,w_bm25,w_rules,w_labels,rho
0.5,0.5,1.0,2.0,0.9999999999999998
0.5,0.5,1.0,3.0,0.9999999999999998
0.5,0.5,1.0,4.0,0.9999999999999998
0.5,0.5,2.0,2.0,0.9865805212883406
0.5,0.5,2.0,3.0,0.9865805212883406
0.5,0.5,2.0,4.0,0.9865805212883406
0.5,0.5,3.0,2.0,0.9728845581529303
0.5,0.5,3.0,3.0,0.9740918734699754
0.5,0.5,3.0,4.0,0.9740918734699754
0.5,1.0,1.0,2.0,0.9866434982959726
0.5,1.0,1.0,3.0,0.9866434982959726
0.5,1.0,1.0,4.0,0.9866434982959726
0.5,1.0,2.0,2.0,0.9920664330629289
0.5,1.0,2.0,3.0,0.9920672010752172
0.5,1.0,2.0,4.0,0.9920672010752172
0.5,1.0,3.0,2.0,0.9816007296116737
0.5,1.0,3.0,3.0,0.9834447271156336
0.5,1.0,3.0,4.0,0.9834447271156336
0.5,1.5,1.0,2.0,0.9671605625690011
0.5,1.5,1.0,3.0,0.9671605625690011
0.5,1.5,1.0,4.0,0.9671605625690011
0.5,1.5,2.0,2.0,0.9867679162866605
0.5,1.5,2.0,3.0,0.986871597945567
0.5,1.5,2.0,4.0,0.986871597945567
0.5,1.5,3.0,2.0,0.9828633418134689
0.5,1.5,3.0,3.0,0.985926174818797
0.5,1.5,3.0,4.0,0.9859269428310852
1.0,0.5,1.0,2.0,0.9823341813469015
1.0,0.5,1.0,3.0,0.9823341813469015
1.0,0.5,1.0,4.0,0.9823341813469015
1.0,0.5,2.0,2.0,0.9932015552248836
1.0,0.5,2.0,3.0,0.9932084673354773
1.0,0.5,2.0,4.0,0.9932084673354773
1.0,0.5,3.0,2.0,0.9841152018432293
1.0,0.5,3.0,3.0,0.9855951615225843
1.0,0.5,3.0,4.0,0.9855951615225843
1.0,1.0,1.0,2.0,0.9843041328661257
1.0,1.0,1.0,3.0,0.9843041328661257
1.0,1.0,1.0,4.0,0.9843041328661257
1.0,1.0,2.0,2.0,0.9999654394470311
1.0,1.0,2.0,3.0,0.9999999999999998
1.0,1.0,2.0,4.0,0.9999999999999998
1.0,1.0,3.0,2.0,0.9926547304756874
1.0,1.0,3.0,3.0,0.994652330437287
1.0,1.0,3.0,4.0,0.994652330437287
1.0,1.5,1.0,2.0,0.9732985167762682
1.0,1.5,1.0,3.0,0.9732985167762682
1.0,1.5,1.0,4.0,0.9732985167762682
1.0,1.5,2.0,2.0,0.9957329237267795
1.0,1.5,2.0,3.0,0.9959249267988287
1.0,1.5,2.0,4.0,0.9959249267988287
1.0,1.5,3.0,2.0,0.9936454663274612
1.0,1.5,3.0,3.0,0.9967113713819421
1.0,1.5,3.0,4.0,0.9967144434310949
1.5,0.5,1.0,2.0,0.9548278212451399
1.5,0.5,1.0,3.0,0.9548278212451399
1.5,0.5,1.0,4.0,0.9548278212451399
1.5,0.5,2.0,2.0,0.9855421686746986
1.5,0.5,2.0,3.0,0.9856112897806364
1.5,0.5,2.0,4.0,0.9856112897806364
1.5,0.5,3.0,2.0,0.9855421686746986
1.5,0.5,3.0,3.0,0.9876695627130034
1.5,0.5,3.0,4.0,0.987676474823597
1.5,1.0,1.0,2.0,0.9660968655498487
1.5,1.0,1.0,3.0,0.9660968655498487
1.5,1.0,1.0,4.0,0.9660968655498487
1.5,1.0,2.0,2.0,0.9942821485143762
1.5,1.0,2.0,3.0,0.9944872077953247
1.5,1.0,2.0,4.0,0.9944872077953247
1.5,1.0,3.0,2.0,0.9946200739211827
1.5,1.0,3.0,3.0,0.9970400806412902
1.5,1.0,3.0,4.0,0.9970539048624777
1.5,1.5,1.0,2.0,0.9652843085489368
1.5,1.5,1.0,3.0,0.9652873805980895
1.5,1.5,1.0,4.0,0.9652873805980895
1.5,1.5,2.0,2.0,0.9936385542168673
1.5,1.5,2.0,3.0,0.994141602265636
1.5,1.5,2.0,4.0,0.994141602265636
1.5,1.5,3.0,2.0,0.9960700811212979
1.5,1.5,3.0,3.0,0.9999654394470311
1.5,1.5,3.0,4.0,0.9999999999999998
