dim,noise_std,ndcg_mean,ndcg_sd,ci_lo,ci_hi,retention,ret_ci_lo,ret_ci_hi,gt_flip_rate,mean_noise_gt_align
4096,0.0,1.0,0.0,1.0,1.0,100.0,100.0,100.0,0.0,
4096,0.01,0.8888841315956753,0.30413944399866816,0.8461966610405194,0.9255654181392442,88.88841315956752,84.61966610405194,92.55654181392443,0.10441767068273092,0.0006645978608382224
4096,0.03,0.8653679203555492,0.321503451891542,0.825480259206933,0.9042774645989824,86.53679203555492,82.5480259206933,90.42774645989824,0.12048192771084337,0.0011639026168966283
4096,0.05,0.8974149630619349,0.269664481924515,0.862414571990637,0.9303192030779157,89.7414963061935,86.2414571990637,93.03192030779157,0.08032128514056225,0.0010908080664624332
4096,0.1,0.8366380444148936,0.2955082817268729,0.7976532484097923,0.873089766773314,83.66380444148936,79.76532484097923,87.3089766773314,0.10040160642570281,-0.00022800142477161323
2048,0.0,1.0,0.0,1.0,1.0,100.0,100.0,100.0,0.0,
2048,0.01,0.7632251194448204,0.4208498402252278,0.7110268601486576,0.8146738268950537,76.32251194448205,71.10268601486575,81.46738268950537,0.23293172690763053,0.0018780982043802642
2048,0.03,0.747623098844027,0.41409839137044424,0.6964522754578623,0.7995420499774566,74.7623098844027,69.64522754578623,79.95420499774566,0.23293172690763053,0.0009812338866419781
2048,0.05,0.7512263023390892,0.4031947358178859,0.701396106979855,0.8011989875901016,75.12263023390892,70.1396106979855,80.11989875901016,0.22088353413654618,-0.0022878088462788735
2048,0.1,0.7502509723166614,0.3678669599509401,0.7025034568962089,0.7923127108297136,75.02509723166614,70.25034568962089,79.23127108297136,0.18473895582329317,-0.0018476091412513605
1024,0.0,1.0,0.0,1.0,1.0,100.0,100.0,100.0,0.0,
1024,0.01,0.8754097017714546,0.32171695371928205,0.8319761591607375,0.914792938838498,87.54097017714545,83.19761591607376,91.4792938838498,0.11646586345381527,2.172643920877747e-05
1024,0.03,0.8921415616887161,0.2824570277554285,0.8581812037693732,0.9262748792671311,89.21415616887161,85.81812037693733,92.62748792671312,0.08835341365461848,-0.002127268939553898
1024,0.05,0.8211029765487566,0.33454181639743313,0.7807689188457619,0.8597786301000754,82.11029765487567,78.0768918845762,85.97786301000754,0.13253012048192772,0.006117273595595914
1024,0.1,0.7682121677246382,0.3225794415223601,0.727172220333695,0.8060719885002037,76.82121677246381,72.7172220333695,80.60719885002037,0.13654618473895583,-2.6277518942813674e-05
512,0.0,1.0,0.0,1.0,1.0,100.0,100.0,100.0,0.0,
512,0.01,0.9943471580476174,0.018160004444448895,0.992015883350602,0.9964229275711433,99.43471580476174,99.2015883350602,99.64229275711432,0.0,-0.004998439181923514
512,0.03,0.9451024739548538,0.11154487825303092,0.9301947539387141,0.9584852126848934,94.51024739548538,93.0194753938714,95.84852126848934,0.0,0.0026479944783373765
512,0.05,0.9068600333742354,0.1404189744173637,0.8898224774089244,0.9237542638325927,90.68600333742354,88.98224774089243,92.37542638325927,0.0,0.0015868798129089208
512,0.1,0.852229796059882,0.1487369748113623,0.8337611345545137,0.8705680126169468,85.2229796059882,83.37611345545137,87.05680126169469,0.0,-0.0032864867544178398
256,0.0,1.0,0.0,1.0,1.0,100.0,100.0,100.0,0.0,
256,0.01,0.992496588440019,0.0356926963287734,0.9874050589982794,0.9963914638366657,99.2496588440019,98.74050589982794,99.63914638366657,0.0,0.0018041727483315128
256,0.03,0.9386113266676567,0.1265735634656523,0.9224633494365327,0.9538160934144186,93.86113266676567,92.24633494365328,95.38160934144186,0.0,-0.002379934671947576
256,0.05,0.9079153395371256,0.14254406026583105,0.8905591761141842,0.9252801355609458,90.79153395371256,89.05591761141842,92.52801355609458,0.0,0.002283044635661015
256,0.1,0.8675919161247987,0.14524024330232374,0.8494352253941004,0.8849965598691213,86.75919161247987,84.94352253941004,88.49965598691213,0.0,-0.010213694026819948
128,0.0,1.0,0.0,1.0,1.0,100.0,100.0,100.0,0.0,
128,0.01,0.9870983608779521,0.060287594076522635,0.9790306663870646,0.9940507715713627,98.70983608779521,97.90306663870646,99.40507715713626,0.0,-0.006429133812847436
128,0.03,0.9280145245943436,0.13688171064184718,0.9110397979575806,0.944841373858183,92.80145245943436,91.10397979575806,94.4841373858183,0.0,-0.01009723960463423
128,0.05,0.9010509657660138,0.14092203226738,0.8833723631415048,0.9178922873351766,90.10509657660138,88.33723631415047,91.78922873351766,0.0,0.0063418044449014615
128,0.1,0.8482127046734056,0.1563464968923225,0.8292848263115888,0.8672927285769261,84.82127046734055,82.92848263115889,86.7292728576926,0.0,0.009029287457424732
